type	feature
AB	SOCS3
AB	DDIT4
AB	HES1
AB	FOSB
AB	NFKBIA
AB	HSPA1B
AB	HSPA1A
AB	GADD45B
AB	EGR1
AB	DUSP1
AB	ATF3
AB	IER2
AB	JUNB
AB	ZFP36
AB	JUN
AB	FOS
SPB	APOBEC3A
SPB	MDK
SPB	WFDC2
SPB	LMO7
SPB	CXCL17
SPB	GSN
SPB	FAM3D
SPB	RAB11FIP1
SPB	SERPINB1
SPB	S100P
SPB	GDF15
SPB	SLPI
SPB	PLAUR
SPB	PLAC8
SPB	KRT16
SPB	CLDN4
SPB	SERPINB3
PB	MKI67
PB	BIRC5
PB	TOP2A
PB	CDC20
PB	CENPW
PB	TUBB
PB	PCLAF
PB	UBE2C
PB	PTTG1
PB	STMN1
PB	HIST1H4C
PB	TUBA1B
PB	KRT15
MPB	FST
MPB	ARID5B
MPB	CAV1
MPB	RGCC
MPB	MMP13
MPB	G0S2
MPB	POSTN
MPB	C1orf56
MPB	BCAM
MPB	KRT17
MPB	TSLP
MPB	STK17A
MPB	DKK1
MPB	DST
MPB	TNFRSF12A
MPB	CYR61
MPB	PHLDA1
MPB	CTGF
MPB	MMP10
Serous2	S100A1
Serous2	SCGB3A2
Serous2	PRB3
Serous2	PRB4
Serous2	CHI3L1
Serous2	HP
Serous2	C6orf58
Serous2	DMBT1
Serous2	AC020656.1
Serous2	LTF
Serous2	PIP
Serous2	LYZ
Serous1	TCN1
Serous1	AZGP1
Serous1	GLYATL2
Serous1	BPIFB2
Mucous	MUC5B
Mucous	TFF3
Goblet	MUC5AC
Goblet	BPIFA1
Goblet	VMO1
Goblet	SCGB1A1
Club	EMP1
Club	S100A10
Club	GPX2
Club	GLUL
Club	SERPINB4
Club	PLAC8
Club	HMGA1
Club	SLC25A5
Club	KRT6A
Club	ALDH3A1
Club	TACSTD2
Club	SERPINB1
Club	AQP3
Club	S100A2
Club	SFN
Club	KRT17
Cliated2	S100A2
Cliated2	SERPINF1
Cliated2	AL355075.4
Cliated2	SOX4
Cliated2	PLCG2
Cliated2	IER2
Cliated2	AC023157.3
Cliated2	CSKMT
Cliated2	HEXIM1
Cliated2	ADPRHL2
Cliated2	HIST1H4C
Cliated2	LRRC74B
Cliated2	VWA3A
Cliated2	AHI1
Cliated2	ANKRD18A
Cliated2	HES1
Cliated2	JUN
Cliated2	TOGARAM2
Cliated2	DNAH12
Cliated2	TTLL10
Cliated2	AC009502.1
Cliated2	CCDC17
Cliated2	DRC3
Cliated2	CCDC189
Cliated2	CFAP157
Cliated2	PTRH1
Cliated2	WDR60
Cliated2	MALAT1
Cliated2	LRRIQ1
Cliated1	OMG
Cliated1	CETN2
Cliated1	SRP9
Cliated1	ALDH1A1
Cliated1	FTL
Cliated1	DSTN
Cliated1	CABCOCO1
Cliated1	FTH1
Cliated1	H3F3A
Cliated1	SUMO2
Cliated1	CALM2
Cliated1	PFN2
Cliated1	B2M
Cliated1	C12orf75
Cliated1	CD24
Cliated1	TMEM59
Cliated1	PTGES3
Cliated1	SARAF
Cliated1	CD59
