pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_ALLOGRAFT_REJECTION,0.0106862623010595,0.470195541246618,0.380730400722792,-0.492653583050488,-1.29969934132141,180,CCR2|FCGR2B|CD79A|EREG|TRAT1|CD1D|IL12RB1|GZMB|CCL11|IRF4|CCR1|ITK|GZMA|CD86|CD40LG|CD3D|CD7|SIT1|FASLG|CD28|ZAP70|LY86|CCL2|PF4|CD8B|NLRP3|LCK|PRF1|CXCR3|CD8A|CCL5|CD2|FGR|CD247|CCL13|CCL4|PTPRC|LTB|IRF8|IFNG|WAS|HCLS1|NCF4|ITGAL|CD3G|LCP2|SPI1|HDAC9|PSMB10|ACHE|CD3E|CD96|MAP4K1|IL2RA|HLA-G|CCL19|SRGN|GPR65|CCR5|IL16|CD4|TNF|IL2RG|ETS1|PRKCG|KLRD1|KRT1|PRKCB|HLA-DOB|GBP2|HLA-DOA|BCL3|EIF3J|TAP1|CSK|IRF7|RIPK2|APBB1|NME1|HLA-DRA|HLA-DQA1|BCL10|B2M|TAP2
HALLMARK_INFLAMMATORY_RESPONSE,0.034965034965035,0.769230769230769,0.241339976815091,-0.464148172300619,-1.223339011593,176,PIK3R5|ITGB3|C3AR1|SELE|KCNA3|EREG|TNFAIP6|MSR1|CMKLR1|LTA|GPR132|BEST1|IFITM1|CCL20|CCL2|PTGIR|NLRP3|LCK|CD70|SERPINE1|CHST2|SLAMF1|CCL5|SLC28A2|CXCL11|IL10RA|IL7R|RGS1|CD69|CXCR6|PLAUR|CD48|LCP2|SPHK1|SELL|GPR183|ITGA5|OLR1|HBEGF|TNFRSF9|CXCL8|KLF6|CCR7|GCH1|CD55|ADM|P2RY2|GP1BA|FZD5|IRAK2|EDN1|TNFRSF1B|SLC7A1|TACR1|HAS2|CALCRL|F3|AHR|MMP14|CSF3|RGS16|BST2|CYBB|IRF7|EMP3|RIPK2|CCRL2|SGMS2|CDKN1A|RELA|PDE4B|SEMA4D
HALLMARK_ADIPOGENESIS,1,1,0,-0.165418557220498,-0.436917302738449,191,FABP4|LPL|ALDOA|ANGPTL4|HSPB8|ME1|SCARB1|SLC19A1|BCKDHA|COL4A1|CD36|ITIH5|ENPP2|LAMA4|UCP2|FZD4|UQCRQ|UQCR11|COL15A1|NABP1|ITGA7|PEMT|MYLK|SORBS1|GPAT4|OMD|LIFR|REEP6|ACAA2|PFKFB3|COX8A|PPP1R15B|COX7B|NMT1|PFKL|IDH3A|SLC25A10|COX6A1|IFNGR1|GRPEL1|SDHB|PEX14|DRAM2|CYC1|CS|COQ5|UQCR10|ACLY|DLAT|PREB|MTCH2|NDUFS3
HALLMARK_ANDROGEN_RESPONSE,0.999,1,0.00204130030921835,-0.166864452456083,-0.43400944136806,97,ADAMTS1|AZGP1|IQGAP2|SPDEF|SRF|ALDH1A3|SGK1|UBE2J1|SAT1|FKBP5|LIFR|SCD|SMS|PTPN21|PMEPA1|B2M|CENPN|CCND3|NDRG1|B4GALT1|KRT8|ELOVL5|PDLIM5|SRP19|PLPP1|INPP4B|SPCS3|SLC38A2|TMPRSS2|GNAI3|DNAJB9|MYL12A|AKAP12|HERC3|HMGCS1|CDC14B|PA2G4|SEC24D|SORD
HALLMARK_ANGIOGENESIS,0.714130434782609,1,0.0330162512586498,-0.364875129720883,-0.878677223632924,31,LPL|PF4|OLR1|SLCO2A1|LUM|KCNJ8|THBD|VEGFA|STC1
HALLMARK_APICAL_JUNCTION,1,1,0,-0.177025276187783,-0.467059637041059,181,COL9A1|ADAMTS5|ACTN2|FLNC|ATP1A3|CD86|CADM3|NLGN3|ACTG2|PTPRC|FSCN1|CD34|CDH15|ICAM2|CLDN4|VCAM1|CNTN1|RAC2|CDH6|TRO|ZYX|CADM2|CRB3|ACTB|PFN1|VASP|LAMC2|ALOX15B|MAPK11|CLDN7|MVD|NEGR1|MYH9|EVL|YWHAH|ITGA9|VWF|TAOK2|IKBKG|PCDH1|STX4|RSU1|CDH3|MMP2|CDK8|B4GALT1|ARPC2|MDK|PECAM1|NLGN2|IRS1|ACTG1
HALLMARK_APICAL_SURFACE,0.985153764581124,1,0.0127010968624207,-0.227432452468532,-0.560428202211295,39,CD160|PCSK9|MDGA1|PLAUR|GATA3|ATP6V0A4|IL2RG
HALLMARK_APOPTOSIS,0.886113886113886,1,0.016356070983033,-0.320375491837479,-0.843553968892169,156,GPX1|DIABLO|EREG|TNFRSF12A|EGR3|FASLG|EMP1|PRF1|PLAT|CD2|HMOX1|ISG20|CD69|BGN|BIK|CD38|CCNA1|LUM|PDGFRB|ENO2|TNF|GCH1|ATF3|CDC25B|BCL2L10|FEZ1|PMAIP1|TAP1|GUCY2D|BID|CTH|MCL1|LMNA|TIMP3|SAT1|IFITM3|WEE1|BCL10|DCN|CDKN1A|RELA|BMF|SOD2|MMP2|PSEN2|IFNGR1|CASP3|NEDD9|TIMP1|ERBB2|SLC20A1|RARA|GNA15|KRT18|DAP|TIMP2|ANXA1|BTG2|CTNNB1|BCL2L1|MADD|PEA15|CDK2|DNAJA1|PPT1|BAX|BCL2L11|PSEN1|BCL2L2|PPP3R1|TGFBR3
HALLMARK_BILE_ACID_METABOLISM,0.998998998998999,1,0.00250132493941571,-0.208659281916491,-0.541825175441731,93,RXRG|APOA1|ABCA8|LCK|FADS2|ABCD2|NR1I2|DIO2|ALDH8A1|DIO1|ABCA9|ABCA3|HSD3B7|BMP6
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.836345381526104,1,0.0204893625108019,-0.308176111812203,-0.797289597576495,71,GLDC|LPL|TNFRSF12A|FADS2|TRIB3|PLAUR|STARD4|ERRFI1|ACSS2|ATF3|CYP51A1|FBXO6|MVD|SCD|FASN
HALLMARK_COAGULATION,0.778557114228457,1,0.0244973552519294,-0.337301659488402,-0.879583947178427,109,ITGB3|APOA1|F10|S100A1|PF4|SERPINE1|PLAT|KLKB1|OLR1|PLAU|SERPINB2|THBS1|TFPI2|CFB|SH2B2|GP1BA|SPARC|MAFF|FYN|MMP10|F2RL2|THBD|MMP15|CSRP1|F3|C1QA|PDGFB|MMP14|RAPGEF3|TIMP3|MMP11|CAPN5|RABIF|C1S|C8G|WDR1|CRIP2|VWF|ARF4|COMP|MMP2|PLG|CTSB|PECAM1|PEF1|TIMP1|DUSP14|DUSP6|PROC|FURIN
HALLMARK_COMPLEMENT,0.170829170829171,1,0.100633389423036,-0.423004848483936,-1.11688040655898,186,PIK3R5|F10|ACTN2|PIK3CG|CR1|GZMB|SCG3|GNGT2|GZMA|CD40LG|GZMK|LCK|GNG2|PCSK9|SERPINE1|PLAT|S100A9|PLA2G7|CCL5|FCN1|KYNU|PLAUR|CDA|ME1|WAS|PHEX|KLKB1|LCP2|DUSP5|OLR1|KLK1|GATA3|SPOCK2|LTF|SERPINB2|CD36|CA2|TFPI2|CFB|CD55|COL4A2|PLA2G4A|GP1BA|MMP13|KCNIP3|MAFF|PDP1|FYN|PFN1|EHD1|MMP15|CSRP1|F3|C1QA|PDGFB|MMP14|IRF7|DOCK10|RABIF|C4BPB|C1S|SH2B3|CD59|APOBEC3F|STX4|PLG|CTSB|CASP10|PLSCR1|CASP3|TIMP1|TNFAIP3|C1QC|DUSP6
HALLMARK_DNA_REPAIR,1,1,0.0014426950408889,-0.0955493621832288,-0.251005751279273,148,RAD51|BOLA2|ERCC5|AK1|CDA|HCLS1|POLD4|ADA|TAF13|COX17|PNP|VPS37B|SNAPC4|POLR1C|NME1|PDE4B|TARBP2|POLR2K|RFC4|POLR2F|CETN2|SDCBP|CSTF3|POLR2H|NCBP2|FEN1|TMED2|POLR2G|ARL6IP1|RPA3|POLR2I|POLB|PCNA|SRSF6|SEC61A1|SUPT4H1|RBX1|GUK1|ZNF707|MPG|TAF6|TSG101|TP53|POLR3C|POLR2J|GTF2A2|EDF1|AAAS|RFC3|AGO4
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.734265734265734,1,0.0274480081801021,-0.349312299222584,-0.923281377225652,194,DKK1|ITGB3|SGCD|TNFRSF12A|NTM|NID2|LRRC15|AREG|MFAP5|CXCL12|SERPINE1|MGP|PLAUR|BGN|GLIPR1|IL32|ITGA5|APLP1|COL4A1|RGS4|CXCL8|LUM|SERPINE2|PDGFRB|PTHLH|NNMT|THBS1|ENO2|TFPI2|TPM4|COL4A2|VCAM1|LAMA2|CDH6|FAP|SPARC|COL8A2|LGALS1|VEGFA|TAGLN|GEM|FBLN5|PMP22|VEGFC|LAMC2|GJA1|THBS2|LAMC1|CTHRC1|MYLK|PFN2|MMP14|LOXL1|VIM|ANPEP|EMP3|TIMP3|SAT1|PPIB|LOX|WIPF1|PMEPA1|DCN|FSTL3|CD59|COL6A2|SPOCK1|DPYSL3|COMP|MMP2|MATN2|DAB2|QSOX1|FBLN2|ADAM12|CADM1|TIMP1
HALLMARK_ESTROGEN_RESPONSE_EARLY,1,1,0,-0.186518786142364,-0.492509681201953,189,STC2|EGR3|OLFML3|SLC7A5|AREG|CXCL12|HSPB8|MICB|CYP26B1|PDLIM3|PTGES|TUBB2B|DLC1|SCARB1|GFRA1|MAPT|SLC19A2|SLC16A1|KLF4|GAB2|P2RY2|ABCA3|PMAIP1|IL17RB|GJA1|MED24|SFN|MUC1|MYBBP1A|NXT1|CLDN7|MREG|FKBP5|CA12|TBC1D30|FASN|TMPRSS3|ADCY1|XBP1|CISH|MYC|SLC37A1|TGIF2|B4GALT1|KRT8|SLC24A3|TTC39A|ESRP2|ELOVL5|SLC7A2|PODXL|RARA|REEP1|UGCG|INPP5F|GLA|MLPH|KRT18|SLC1A4
HALLMARK_ESTROGEN_RESPONSE_LATE,0.998001998001998,1,0.00204130030921835,-0.235837032201101,-0.622692059796644,186,SERPINA3|ST6GALNAC2|IGSF1|EGR3|SLC7A5|AREG|CXCL12|S100A9|HSPB8|MICB|CYP26B1|PDLIM3|CDC20|ISG20|DNAJC12|PTGES|SCARB1|MAPT|CCNA1|LTF|CA2|TPSAB1|SLC16A1|KLF4|TFPI2|SCUBE2|RNASEH2A|ABCA3|PRLR|PLK4|IL17RB|LAMC2|SFN|GJB3|SGK1|KIF20A|NXT1|BATF|FKBP5|CA12|PCP4|SNX10|TMPRSS3|XBP1|CISH|SLC24A3|MDK|TSPAN13|ELOVL5|LSR|UGDH
