pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_MYC_TARGETS_V1,8.31575408907981e-13,4.15787704453991e-11,0.921426003494898,-0.530440267809435,-2.22084806119715,193,NOP16|CDC45|CTPS1|NME1|RRP9|DDX21|ODC1|TYMS|MCM4|EIF3B|AIMP2|NOP56|CCT5|GOT2|HNRNPD|MCM2|RAN|SNRPD1|ETF1|EIF2S1|EIF4A1|PA2G4|CAD|GSPT1|POLE3|NOLC1|CCT2|EIF3J|SRSF2|CDK2|NHP2|PSMD7|LDHA|MCM6|MCM7|SMARCC1|PPM1G|NCBP2|SYNCRIP|COX5A|HDAC2|HPRT1|SNRPG|PWP1|PSMA7|MCM5|EIF4E|KPNB1|VDAC1|HDGF|PSMD14|POLD2|CCT4|UBE2L3|CYC1|KPNA2|LSM7|ABCE1|SRM|HSPD1|ILF2|HSPE1|ACP1|GNL3|PSMD1|SERBP1|RANBP1|PSMB2|C1QBP|PSMC4|SLC25A3|DHX15|SRSF7|TCP1|PSMB3|FAM120A|SRPK1|SSBP1|SNRPA1|IMPDH2|CCT3|TXNL4A|PPIA|MAD2L1|CDC20|RAD23B|G3BP1|PSMD8|XPO1|SNRPD3|CSTF2|CDK4|MYC|EIF2S2|TRIM28|PRDX4|NDUFAB1|EIF4G2|RNPS1|UBA2|SF3B3|SSB|RUVBL2|EIF4H|PCNA|HNRNPA3|XRCC6|PSMD3|RRM1|PCBP1|VBP1|TFDP1|FBL|HNRNPU|TUFM|YWHAQ|EEF1B2|NPM1|PRPS2|MRPL23|CCT7|ERH|NCBP1|PABPC4|SET|RPS2|VDAC3|HSP90AB1|PRDX3
HALLMARK_TNFA_SIGNALING_VIA_NFKB,2.29891740513138e-12,5.74729351282846e-11,0.898671232061694,0.469215371609876,2.22298311024277,193,EGR2|GEM|BTG2|CCL5|NR4A3|CCL4|EGR1|NR4A2|JUNB|CXCL2|ACKR3|IFIT2|SLC2A3|IER2|GADD45B|EGR3|DUSP5|FOS|GPR183|PNRC1|NR4A1|CEBPD|TNFRSF9|ATF3|DNAJB4|JUN|KLF2|TSC22D1|ID2|HES1|BIRC3|CXCL1|CXCL3|ZFP36|IL7R|TGIF1|TNF|RHOB|ZC3H12A|DUSP1|RCAN1|PDE4B|CD69|CCL2|BCL6|CXCL10|DUSP2|NFKBIA|PLEK|GFPT2|BHLHE40|PER1|PTGER4|PTGS2|IRF1|OLR1|CEBPB|IER5|TNFSF9|TNFAIP3|PPP1R15A|NFIL3|TRIB1|G0S2|TRAF1|CSF2|TNFAIP8|REL|F3|BTG1|CCNL1|KLF9|SLC2A6|FOSB
HALLMARK_ALLOGRAFT_REJECTION,4.91692386470536e-11,8.19487310784227e-10,0.851339057116899,0.463797914621489,2.19808699381637,178,LTB|CD79A|CCL5|CCL4|CD3D|PTPRC|HLA-DQA1|CCR2|FCGR2B|CD86|CD2|SRGN|CXCL13|CD3G|CD3E|IGSF6|IL16|IL2RG|HLA-DRA|PRKCB|WAS|ITGB2|IFNG|LCP2|CD40LG|GZMA|HLA-DMA|TNF|CD247|IL7|CD4|STAT4|CD7|CCL2|HLA-DMB|CD8A|CFP|CCL19|LY86|CXCR3|IRF8|INHBB|MMP9|CD74|GBP2|ZAP70|NOS2|IRF4|LCK|SOCS1|MAP4K1|F2R|IL15|ACVR2A|HLA-DOB|CD96|GPR65|HCLS1|CXCL9|FGR|B2M|SPI1|TGFB2|CCL11|IL2RB|CD8B|CCR1|EGFR|KLRD1|HLA-E|ITGAL
HALLMARK_INTERFERON_GAMMA_RESPONSE,2.25749521693553e-09,2.82186902116942e-08,0.774939030136436,0.430744942440739,2.05816317470668,194,CCL5|HLA-DQA1|CIITA|CD86|IL10RA|C1S|IFIT2|XCL1|P2RY14|IFIT1|KLRK1|SSPN|HLA-DRB1|LCP2|BST2|SERPING1|GZMA|HLA-DMA|IL7|PDE4B|STAT4|ZBP1|CD69|CCL2|CXCL10|NFKBIA|SLAMF7|CMPK2|ARL4A|EPSTI1|ARID5B|PTGS2|IRF1|FGL2|IRF8|TNFAIP3|C1R|CD74|IFI44|IRF4|XAF1|IFI44L|BTG1|IRF2|IFIT3|SOCS1|FPR1|IL15|PELI1|IFI27|SAMD9L|RNF31|HLA-B|TRAFD1|SOCS3|USP18|CXCL9|MX2|CSF2RB|B2M|IRF9|PARP14|IL2RB|SAMHD1|TXNIP|TNFSF10|CD38|ST3GAL5|MX1|VCAM1|SP110|CFH|BANK1|PSMB9|OAS2
HALLMARK_E2F_TARGETS,4.83232143945523e-09,4.25156239298251e-08,0.761460801445585,-0.481583460854498,-2.01589024264798,195,DIAPH3|CDC25A|MYBL2|AURKB|HMGA1|CTPS1|RRM2|CCNE1|MTHFD2|NME1|MELK|SPC24|DCTPP1|MCM4|PTTG1|TK1|BRMS1L|CDCA8|POLE|LYAR|PAICS|SPC25|EZH2|RAD51AP1|NOP56|PLK4|BRCA1|ASF1B|HNRNPD|MCM2|RAN|EIF2S1|DLGAP5|RFC3|KIF2C|GINS4|PA2G4|GSPT1|NUP205|NOLC1|SRSF2|CDKN3|E2F8|MCM6|ESPL1|CSE1L|MCM7|TACC3|ORC6|SYNCRIP|DEPDC1|RFC2|TBRG4|PSMC3IP|MCM5|LMNB1|SLBP|KIF4A|DNMT1|POLD2|TUBB|KPNA2|CHEK2|CDKN2A|MKI67|HELLS|POP7|UNG|TIMELESS|PPP1R8|RANBP1|GINS1|DDX39A|IPO7|GINS3|PRPS1|TUBG1|HUS1|TP53|LIG1|SUV39H1|ZW10|PLK1|CHEK1|MAD2L1|CDC20|XPO1|CDK4|MYC|UBE2T|HMMR|DSCC1|PRDX4|SNRPB|RNASEH2A|PCNA|XRCC6|POLD1|SSRP1|AK2
HALLMARK_MYC_TARGETS_V2,5.10187487157902e-09,4.25156239298251e-08,0.761460801445585,-0.66883960013678,-2.32539833070534,57,NOP16|RRP12|BYSL|RRP9|IPO4|NOP2|PUS1|PPAN|DCTPP1|MCM4|MRTO4|NIP7|HK2|GRWD1|PPRC1|AIMP2|NOP56|PLK4|WDR43|IMP4|TCOF1|PES1|PA2G4|NOLC1|NOC4L|WDR74|NDUFAF4|FARSA|UTP20|TBRG4|MCM5|LAS1L|PRMT3|SRM|HSPD1|HSPE1|UNG|GNL3|SLC29A2|SLC19A1|EXOSC5|PLK1|TMEM97|MYBBP1A|TFB2M|SUPV3L1|CDK4|MYC|MAP3K6
HALLMARK_G2M_CHECKPOINT,1.15870164266137e-07,8.27644030472405e-07,0.704975715167238,-0.46677941375936,-1.95178334411437,188,PBK|CDC25A|MYBL2|CDC6|AURKB|E2F2|HMGA1|CDC45|SLC7A5|GINS2|TPX2|ODC1|RAD54L|E2F3|SMAD3|PTTG1|STIL|INCENP|POLE|EXO1|KIF23|E2F1|MT2A|EZH2|PLK4|DKC1|HNRNPD|MCM2|TOP1|SNRPD1|CDC7|KIF2C|UCK2|CCNF|E2F4|GSPT1|NOLC1|SLC7A1|ATF5|TTK|SRSF2|CDKN3|MCM6|ESPL1|PML|PRMT5|BUB1|TACC3|SMARCC1|ORC6|SYNCRIP|RASAL2|KIF15|AMD1|SLC38A1|MCM5|KPNB1|LMNB1|KIF4A|DR1|KPNA2|MKI67|DTYMK|DDX39A|KIF11|CHMP1A|HUS1|SUV39H1|PLK1|TNPO2|CHEK1|MAD2L1|NUP98|CDC20|RAD23B|G3BP1|RBM14|XPO1|SFPQ|NCL|CDK4|SQLE|MYC|HMMR|HIRA
HALLMARK_INTERFERON_ALPHA_RESPONSE,3.749318567158e-06,2.34332410447375e-05,0.627256739718528,0.462386831892361,1.97802426062804,95,NCOA7|C1S|IFIT2|SELL|BST2|IL7|TMEM140|CXCL10|CMPK2|EPSTI1|IRF1|CD74|GBP2|IFI44|LPAR6|IFI44L|IRF2|IFIT3|IL15|IFI27|SAMD9L|RNF31|TRAFD1|USP18|B2M|IRF9|PARP14|TXNIP|HLA-C|MX1|MOV10|SP110|CSF1|PSMB9|GBP4|NUB1|PSME1|STAT2|CCRL2|ISG15|RTP4|DHX58|UBE2L6|LGALS3BP|RIPK2|DDX60
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,6.32410193302067e-06,3.51338996278926e-05,0.610526878385931,0.361329266789775,1.72648478850751,194,DCN|GEM|SFRP4|LUM|ABI3BP|MGP|VIM|BGN|PDGFRB|COL1A2|NTM|GADD45B|PCOLCE|JUN|ID2|FN1|TIMP3|COL1A1|GREM1|ELN|IL32|IGFBP2|TGM2|CXCL1|CXCL12|ACTA2|MMP2|FBLN1|COL6A2|COL3A1|DST|FBLN5|RHOB|GAS1|OXTR|TAGLN|SLIT3|SPP1|VCAN|FBLN2|CTHRC1|SNAI2|LGALS1|TNFAIP3|COL6A3|FERMT2|FMOD|COL5A1|MFAP5|IL15|SGCD|CDH11|FAP|LRP1|LOX|SPARC|FUCA1|SERPINH1|FBN1|LAMA2|DAB2
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.19719784837989e-05,5.98598924189946e-05,0.593325476396405,-0.427327193777682,-1.76993076967204,184,MFN2|CYCS|GOT2|MRPS12|TIMM50|MTRR|TIMM8B|TIMM13|MRPL15|NDUFS6|IDH1|IDH3A|TIMM17A|LDHA|DLST|TIMM10|GRPEL1|COX5A|SLC25A20|PMPCA|VDAC1|UQCRFS1|MRPL35|CYC1|NDUFV1|MRPS22|SLC25A5|FXN|TOMM22|CPT1A|COX7A2|HSD17B10|NQO2|VDAC2|CS|SLC25A3|ACAA1|TIMM9|COX10|AFG3L2|NDUFB2|COX7B|ACADVL|ATP1B1|UQCRH|NDUFA9|MRPS30|HCCS|COX6B1|SUPV3L1|MRPS15|POLR2F|COX8A|ISCA1|MRPS11|NDUFAB1|UQCRC1|OPA1|SDHB|GPI|DLAT|ATP6V0B|GLUD1|COX6A1|RETSAT|HSPA9|NDUFB7|NDUFA6|NDUFS2|UQCRQ|NDUFS8|NDUFA4|IDH3B|NDUFV2|DLD|OGDH|IMMT|COX6C|IDH2|FH|ABCB7|TCIRG1|UQCR11|VDAC3|PRDX3|ECHS1|CYB5R3|COX5B|NDUFC2|SUCLA2|HADHB|UQCR10|MDH1|ACO2|FDX1|LDHB|PDHB|PHB2|ETFB|SDHC|NDUFS1|NDUFS7|NDUFA8|SUCLG1|ATP6V1C1|UQCRC2|MTX2|NDUFA2|MDH2|COX4I1|ATP6V0E1|COX7C|OAT|NDUFB6|MRPL11
