orig.ident,nCount_RNA,nFeature_RNA,percent.mt,percent.rb,RNA_snn_res.0.5,seurat_clusters,RedGreen,RNA_snn_res.0.2,RNA_snn_res.0.3,RNA_snn_res.1,RNA_snn_res.0.8,repairment,specimen
s1,11828,3461,5.28407169428475,30.0811633412242,24,24,red,0,0,0,0,bad_repair,s1
s1,14586,4088,4.99794323323735,25.4490607431784,28,28,red,2,1,4,3,bad_repair,s1
s1,61136,6652,7.70740643810521,21.0726903951845,23,23,red,11,16,22,23,bad_repair,s1
s1,33490,6478,4.45804717826217,30.6240668856375,24,24,red,0,0,5,0,bad_repair,s1
s1,27354,5446,4.47466549681948,35.4975506324486,28,28,red,2,1,4,3,bad_repair,s1
s1,36259,6794,9.50660525662594,25.3206100554345,24,24,red,0,0,5,0,bad_repair,s1
s1,10290,2791,4.33430515063168,34.3051506316812,28,28,red,2,1,4,3,bad_repair,s1
s1,13337,3662,7.47544425283047,35.1803254105121,24,24,red,1,0,0,4,bad_repair,s1
s1,8406,3385,9.873899595527,16.2384011420414,18,18,red,6,6,11,8,bad_repair,s1
s1,9336,2903,5.55912596401028,18.7446443873179,23,23,red,1,8,8,9,bad_repair,s1
s1,10951,3182,3.97223997808419,27.6504428819286,20,20,red,7,7,16,17,bad_repair,s1
s1,11561,3358,4.49788080615864,28.2328518294265,24,24,red,0,0,5,0,bad_repair,s1
s1,8355,2631,4.78755236385398,31.8491921005386,24,24,red,1,2,2,1,bad_repair,s1
s1,11572,3941,7.48358105772554,17.9917041133771,19,19,red,3,13,25,20,bad_repair,s1
s1,34493,6301,4.02980314846491,34.5316441017018,28,28,red,2,1,4,3,bad_repair,s1
s1,13164,3706,5.75812822850198,26.9067152841082,24,24,red,0,0,0,0,bad_repair,s1
s1,8323,3010,3.79670791781809,19.6563739036405,28,28,red,2,1,6,6,bad_repair,s1
s1,8406,2736,3.97335236735665,33.547466095646,28,28,red,2,1,4,3,bad_repair,s1
s1,16148,4739,3.04062422591033,15.8347783007184,28,28,red,2,11,18,18,bad_repair,s1
s1,9747,2011,2.01087514106905,17.4515235457064,23,23,red,11,16,22,23,bad_repair,s1
s1,48235,7723,4.55478387063336,29.9657924743444,24,24,red,1,2,5,0,bad_repair,s1
s1,11277,3519,5.18754988028731,29.8217611066773,24,24,red,0,0,0,0,bad_repair,s1
s1,15704,3820,4.49566989302089,33.5710646968925,24,24,red,0,0,5,0,bad_repair,s1
