id	description	features
Basal	basal	KRT5,KRT14,TP63,ITGA6,ITGB4,NGFR,PDPN,LGALS1,LAMA3,LAMB3,KRT15,KRT19,KRT17,CD151,F3,AQP3
SM	secretory_mucous	MUC5B,MUC5AC,MUC1,MUC16,MUC20
SNM	secretory_nonmucous	SCGB1A1,SCGB3A2,TFF3,KRT7,KRT8,KRT4,KRT13
Ciliated	ciliated	ACT,FOXJ1,PIFO,TPP3,DNAH5,AKAP14,SPEF2
Intermediate	intermediate_cells	DEUP1,CDC20B,CCDC67,PLK4,HES6,CEP78
Macrophage	macrophage	CD68,MRC1,SIGLEC1
Tcell	t_cell	CD3G,CD4,CD8A,CD69,FOXP3,CTLA4,ITGAE
Bcell	b_cell	CD19,MS4A1
NKcell	nk_cell	NCAM
Neutrophil	neutrophil	GR1
HSC	hematopoietic_stem_cell	CD34
Endothelial	endothelial_cell	PECAM1
Fibroblasts	fibroblasts	THY1
