type	feature
Basal Cells	KRT5
Basal Cells	KRT14
Basal Cells	TP63
Basal Cells	ITGA6
Basal Cells	ITGB4
Basal Cells	NGFR
Basal Cells	PDPN
Basal Cells	LGALS1
Basal Cells	LAMA3
Basal Cells	LAMB3
Basal Cells	KRT15
Basal Cells	KRT19
Basal Cells	KRT17
Basal Cells	CD151
Basal Cells	F3
Basal Cells	AQP3
Secretory/Mucous	MUC5B
Secretory/Mucous	MUC5AC
Secretory/Mucous	MUC1
Secretory/Mucous	MUC16
Secretory/Mucous	MUC20
Secretory/Non-mucous	SCGB1A1
Secretory/Non-mucous	SCGB3A2
Secretory/Non-mucous	TFF3
Secretory/Non-mucous	KRT7
Secretory/Non-mucous	KRT8
Secretory/Non-mucous	KRT4
Secretory/Non-mucous	KRT13
Ciliated	ACT
Ciliated	FOXJ1
Ciliated	PIFO
Ciliated	TPP3
Ciliated	DNAH5
Ciliated	AKAP14
Ciliated	SPEF2
Intermediate Cells	DEUP1
Intermediate Cells	CDC20B
Intermediate Cells	CCDC67
Intermediate Cells	PLK4
Intermediate Cells	HES6
Intermediate Cells	CEP78
Macrophage	CD68
Macrophage	MRC1
Macrophage	SIGLEC1
T cell	CD3G
T cell	CD4
T cell	CD8A
T cell	CD69
T cell	FOXP3
T cell	CTLA4
T cell	ITGAE
B cells	CD19
B cells	MS4A1
NK Cells	NCAM
Neutrophil 	GR1
Hematopoietic Stem cells	CD34
Endothelial Cells	PECAM1
Fibroblasts	Thy1
TARGET	JUNB
TARGET	HLA-DRA
TARGET	PABPC1
TARGET	BTG2
TARGET  CD74
TARGET  MKI67
