gene,pval,logFC,pct_good,pct_bad,padj,cluster,sig
SCGB3A1,1.54556922450642e-116,4.41031446444253,1,0.674,6.96557138100555e-112,1,TRUE
IGKC,1.83819571706282e-115,3.61899401453827,1,0.751,8.28438045765873e-111,1,TRUE
SCGB1A1,2.53418742582925e-115,4.33370505921113,1,0.594,1.14210758907272e-110,1,TRUE
S100A2,3.16077663811956e-103,-3.57462607470751,1,1,1.42449881526773e-98,1,TRUE
CTGF,2.63096680859957e-101,4.09412820168024,0.977,0.409,1.18572412129966e-96,1,TRUE
JUNB,3.49131991607272e-96,1.70663694167016,1,0.99,1.57346805977565e-91,1,TRUE
EGR1,2.98877044007781e-93,2.05154424868094,0.997,0.869,1.34697906193427e-88,1,TRUE
KRT6A,9.25749956578209e-92,-7.06458861668416,0.045,0.789,4.17216990430667e-87,1,TRUE
IGHA1,4.04091421095339e-91,3.24880892548975,0.93,0.556,1.82115921659247e-86,1,TRUE
FGFBP1,7.22928062980951e-91,-5.83657818261054,0.104,0.88,3.25809219424255e-86,0,TRUE
IGKC,3.3852056914985e-90,2.72159735364325,1,0.885,1.52564450104454e-85,0,TRUE
FGFBP1,3.03737328525574e-89,-5.42605105601386,0.098,0.821,1.36888339219906e-84,1,TRUE
KRT6A,2.33862082562284e-88,-6.84773559674231,0.106,0.87,1.0539696336917e-83,0,TRUE
BTG2,2.43642340776221e-88,2.67040989106746,0.98,0.534,1.09804730141027e-83,1,TRUE
S100A10,2.43343650239604e-87,-2.54634850378465,0.83,0.997,1.09670116289985e-82,1,TRUE
LMNA,7.43458688352722e-87,-2.41376585673315,0.752,0.99,3.35061961666805e-82,1,TRUE
IGHA1,7.94276962161353e-87,2.1126017303105,0.998,0.668,3.57964741306878e-82,0,TRUE
MSMB,2.25965495843497e-84,5.93901358027083,0.794,0.048,1.01838129666747e-79,1,TRUE
SFN,7.11341219523321e-84,-2.43201926290288,0.84,1,3.2058726081477e-79,1,TRUE
KRT14,1.84097122991634e-82,-5.71911300975157,0.088,0.78,8.29688913898696e-78,1,TRUE
IGFBP2,4.67428840625402e-82,2.72297188608071,0.932,0.607,2.10660829893056e-77,1,TRUE
SCGB3A1,6.98691644694331e-82,3.7850778513872,1,0.719,3.14886350430841e-77,2,TRUE
ANXA2,1.02298701928139e-81,-2.16675805667996,0.955,1,4.61039789849738e-77,1,TRUE
SCGB1A1,1.08160774550565e-80,4.48066011676766,0.996,0.557,4.87458978744489e-76,2,TRUE
JUN,1.19552139466368e-79,1.4513067457885,1,0.994,5.38797582147029e-75,1,TRUE
TNFRSF12A,1.31406279192315e-79,-3.92761729305434,0.263,0.863,5.92221819063925e-75,1,TRUE
IGKC,2.14260216579268e-77,3.20323056706325,0.986,0.719,9.65627944079446e-73,2,TRUE
TUBA1C,5.89335501286942e-77,-3.15479912411273,0.368,0.917,2.65601723719999e-72,1,TRUE
IGHM,1.49080104091195e-76,3.16368123014218,0.951,0.529,6.71874213118196e-72,0,TRUE
MSMB,2.06597019209504e-76,5.21724477139759,0.942,0.303,9.31091446173394e-72,0,TRUE
DKK1,2.61494645456723e-74,-10.5123389404666,0.003,0.629,1.17850406814436e-69,1,TRUE
SCGB3A1,3.47208580461901e-74,4.0776649590011,1,0.913,1.5647996304257e-69,0,TRUE
S100A2,1.57189886415158e-73,-3.07408400393067,0.988,1,7.08423380095836e-69,0,TRUE
KRT13,1.7777720337658e-73,-7.43119891503676,0.037,0.692,8.0120630017757e-69,0,TRUE
IGHM,5.70525451999006e-73,3.00889144980003,0.86,0.399,2.57124410706912e-68,1,TRUE
TXN,3.98890478473865e-72,-1.44334635820082,0.86,1,1.79771960838602e-67,1,TRUE
EGR1,7.52614796916652e-71,3.2320612410373,0.975,0.496,3.39188436674396e-66,2,TRUE
CYR61,5.5477973690482e-70,1.83610020365659,0.987,0.891,2.50028131828264e-65,1,TRUE
S100A2,8.9679887765685e-70,-3.37789046918892,0.996,1,4.04169318182389e-65,2,TRUE
SERPINE2,1.57012158911511e-69,-3.62730899365077,0.168,0.792,7.07622397782398e-65,1,TRUE
EGR1,1.60965853709003e-69,2.27965700194898,0.977,0.659,7.25440909495734e-65,0,TRUE
FOS,2.08055884694123e-69,1.36539795163041,1,0.968,9.37666261139474e-65,1,TRUE
BTG2,2.06316999676238e-68,2.56857622673301,0.961,0.649,9.2982945414087e-64,0,TRUE
IER2,1.23727895169775e-67,1.57401972056397,0.977,0.939,5.57616877951142e-63,1,TRUE
IGHA1,1.35613596795601e-67,3.74041205761921,0.946,0.596,6.11183358038414e-63,2,TRUE
TSC22D1,7.53713734688182e-67,1.49419608160997,1,0.949,3.3968370594927e-62,1,TRUE
CEBPD,1.05697355708452e-64,2.18453344023837,0.947,0.792,4.76356842706851e-60,1,TRUE
TM4SF1,1.64071715078003e-64,-3.71091820767298,0.301,0.831,7.39438405513543e-60,1,TRUE
CAV1,1.77448692358871e-64,-3.23281713879008,0.178,0.786,7.9972576672296e-60,1,TRUE
SH3BGRL3,3.36629265173771e-64,-2.00182518372368,0.737,0.978,1.51712077228515e-59,1,TRUE
JUNB,3.43940887628228e-64,1.90684553398252,0.998,0.913,1.5500727923629e-59,0,TRUE
NTRK2,3.67166094553551e-64,-3.88257838297795,0.033,0.629,1.65474415493394e-59,1,TRUE
CTGF,3.81786124826298e-64,3.80729950914228,0.903,0.38,1.72063370736716e-59,0,TRUE
JUNB,8.73072836394681e-64,2.52066296357723,0.978,0.882,3.93476465906355e-59,2,TRUE
CTGF,8.74765000732922e-64,4.66210831243806,0.896,0.219,3.94239090530313e-59,2,TRUE
SFN,2.74242933965878e-63,-2.55019416990804,0.843,0.995,1.23595805479742e-58,0,TRUE
S100A10,9.96815350264058e-63,-2.78057256263049,0.88,0.995,4.49244742057005e-58,0,TRUE
IGFBP6,3.91767122197332e-62,-3.27150656700082,0.311,0.837,1.76561606631893e-57,1,TRUE
BTG2,6.36768694068328e-62,3.27312525664993,0.921,0.417,2.86978915042714e-57,2,TRUE
S100A16,6.02329132675818e-61,-2.6173154594945,0.511,0.936,2.71457693514338e-56,1,TRUE
MSMB,1.42549304283379e-60,5.63013348094034,0.799,0.066,6.42441204544334e-56,2,TRUE
TSC22D1,5.41354156420395e-60,1.94550541937846,1,0.829,2.43977491215544e-55,2,TRUE
ANXA1,8.0833491642146e-60,-1.97930622063964,0.581,0.955,3.64300380132824e-55,1,TRUE
LMNA,9.12181098161771e-60,-1.88307861032239,0.792,0.986,4.11101777319547e-55,0,TRUE
IGFBP6,1.06465701704253e-59,-3.8681996386006,0.211,0.904,4.79819624440728e-55,2,TRUE
SERPINB5,2.85854810760346e-59,-2.5051642115722,0.298,0.847,1.28829046113473e-54,1,TRUE
HMGA1,7.24603076706053e-59,-2.34818248443532,0.479,0.93,3.26564114609884e-54,1,TRUE
NR4A1,1.42740924840266e-58,1.52765395043911,0.955,0.827,6.43304800070112e-54,1,TRUE
